%time,field0,field1
8081000000,27.3862307657,-3.05558429374
8083000000,27.3863132769,-3.05573851877
8083000000,27.3863868777,-3.05589184237
8084000000,27.3864515447,-3.05604426335
8086000000,27.3865073256,-3.05619578055
8087000000,27.3865922066,-3.05649609909
8087000000,27.3865922066,-3.05649609909
8089000000,27.3866213308,-3.05664489827
8090000000,27.3866530422,-3.05693977117
8090000000,27.3866530422,-3.05693977117
8092000000,27.3866556532,-3.0570858429
8093000000,27.3866344099,-3.0573752521
8093000000,27.3866344099,-3.0573752521
8094000000,27.386610597,-3.05751858772
8096000000,27.3865779824,-3.05766100951
8096000000,27.3865779824,-3.05766100951
8098000000,27.386486465,-3.05794310817
8099000000,27.3863599511,-3.05822154152
8099000000,27.3863599511,-3.05822154152
8101000000,27.3862836082,-3.05835938176
8101000000,27.3861985338,-3.0584963034
8102000000,27.3861047738,-3.05863230573
8104000000,27.3860023053,-3.05876738805
8105000000,27.385891174,-3.05890154971
8105000000,27.3857713571,-3.05903479007
8106000000,27.3856429001,-3.0591671085
8108000000,27.3855057802,-3.05929850442
8109000000,27.3852056646,-3.05955852642
8109000000,27.3852056646,-3.05955852642
8111000000,27.3850426914,-3.05968715142
8111000000,27.3848711,-3.05981485174
8113000000,27.3846909355,-3.05994162688
8114000000,27.3843048628,-3.06019239979
8114000000,27.3843048628,-3.06019239979
8116000000,27.3840989936,-3.06031639667
8116000000,27.3840989936,-3.06031639667
8117000000,27.3836616102,-3.06056160923
8119000000,27.3834301176,-3.06068282415
8119000000,27.3834301176,-3.06068282415
8120000000,27.3829416178,-3.06092246947
8122000000,27.3824191471,-3.06115839996
8122000000,27.3824191471,-3.06115839996
8123000000,27.3821452074,-3.0612749714
8125000000,27.3818627898,-3.06139061328
8127000000,27.3812726293,-3.06161910734
8127000000,27.3812726293,-3.06161910734
8128000000,27.3806487485,-3.06184388036
8128000000,27.3806487485,-3.06184388036
8130000000,27.3803241969,-3.06195487098
8131000000,27.3796498886,-3.06217405958
8131000000,27.3796498886,-3.06217405958
8132000000,27.379300152,-3.06228225727
8134000000,27.3785756141,-3.0624958588
8134000000,27.3785756141,-3.0624958588
8136000000,27.3782007989,-3.06260126244
8137000000,27.3778176609,-3.06270573453
8137000000,27.3778176609,-3.06270573453
8138000000,27.3770263877,-3.06291188384
8139000000,27.3766182719,-3.06301356096
8141000000,27.3757771635,-3.06321411997
8141000000,27.3757771635,-3.06321411997
8143000000,27.3753441901,-3.06331300184
8144000000,27.3749029271,-3.06341095196
8144000000,27.3749029271,-3.06341095196
8146000000,27.3739956377,-3.06360405703
8147000000,27.3735296298,-3.06369921206
8147000000,27.3730553694,-3.06379343549
8148000000,27.3725728997,-3.06388672739
8150000000,27.3720821957,-3.06397908783
8151000000,27.3710761889,-3.0641610147
8151000000,27.3710761889,-3.0641610147
8152000000,27.3705609039,-3.06425058134
8153000000,27.3700374203,-3.06433921694
8155000000,27.3695057809,-3.06442692162
8155000000,27.3695057809,-3.06442692162
8156000000,27.3684180011,-3.06459953884
8158000000,27.3678618952,-3.06468445168
8158000000,27.3672976339,-3.06476843422
8160000000,27.3667252599,-3.06485148665
8161000000,27.3655561388,-3.0650148019
8161000000,27.3655561388,-3.0650148019
8163000000,27.3649594084,-3.06509506513
8164000000,27.3637416832,-3.06525280384
8164000000,27.3637416832,-3.06525280384
8166000000,27.3631207049,-3.06533027977
8167000000,27.3618545222,-3.06548244598
8167000000,27.3618545222,-3.06548244598
8168000000,27.3612093338,-3.06555713675
8170000000,27.3605561143,-3.06563089964
8171000000,27.3592255438,-3.06577564286
8171000000,27.3592255438,-3.06577564286
8172000000,27.3585482082,-3.06584662374
8174000000,27.3578628724,-3.06591667785
8175000000,27.3564681608,-3.06605400694
8175000000,27.3564681608,-3.06605400694
8176000000,27.3557588172,-3.06612128253
8178000000,27.3543161564,-3.06625305739
8178000000,27.3543161564,-3.06625305739
8180000000,27.3535828538,-3.0663175573
8181000000,27.3520923752,-3.06644378372
8181000000,27.3520923752,-3.06644378372
8182000000,27.3513352135,-3.06650551092
8184000000,27.3505700891,-3.06656631458
8185000000,27.3490160513,-3.06668515267
8185000000,27.3490160513,-3.06668515267
8186000000,27.3482271516,-3.06674318784
8188000000,27.3474303165,-3.06680030091
8189000000,27.3466255885,-3.06685649225
8189000000,27.3458129382,-3.06691176225
8191000000,27.3449924084,-3.06696611129
8193000000,27.3433276637,-3.06707204804
8193000000,27.3433276637,-3.06707204804
8193000000,27.3424834615,-3.06712363655
8195000000,27.3407714653,-3.06722405584
8195000000,27.3407714653,-3.06722405584
8197000000,27.339903684,-3.06727288742
8197000000,27.3390280489,-3.06732080086
8198000000,27.3381445479,-3.06736779658
8200000000,27.337253224,-3.06741387498
8200000000,27.336354046,-3.0674590365
8201000000,27.335447057,-3.06750328155
8203000000,27.3345322254,-3.06754661059
8204000000,27.3326791324,-3.06763052232
8204000000,27.3326791324,-3.06763052232
8206000000,27.3317408823,-3.0676711059
8207000000,27.3298409651,-3.06774953072
8208000000,27.3298409651,-3.06774953072
8209000000,27.3279098867,-3.06782430207
8209000000,27.3279098867,-3.06782430207
8211000000,27.3269326659,-3.06786031884
8211000000,27.3259476898,-3.06789542361
8213000000,27.3249549253,-3.06792961685
8213000000,27.3249549253,-3.06792961685
8214000000,27.3229461286,-3.06799527058
8216000000,27.3219301065,-3.06802673201
8216000000,27.320906316,-3.06805728379
8217000000,27.3198748009,-3.06808692637
8219000000,27.3177885375,-3.06814348591
8219000000,27.3177885375,-3.06814348591
8220000000,27.3167338186,-3.06817040382
8222000000,27.3156713547,-3.06819641447
8223000000,27.3135232896,-3.06824571591
8223000000,27.3135232896,-3.06824571591
